"#""+ESI Scan (scans: #13-17"," 5 scans) Frag=200.0V 154-254 GFPuv oMeY run002.d  Subtract Deconvoluted (Isotope Width=0.0)""",,
#Point,X(Daltons),Y(Counts),
0,23000,0.510291517,
1,23001,4.139523506,
2,23002,8.647818565,
3,23003,13.51195908,
4,23004,17.08638191,
5,23005,18.53504562,
6,23006,18.62101936,
7,23007,18.55520821,
8,23008,19.37903595,
9,23009,21.85108948,
10,23010,25.43931007,
11,23011,28.99209976,
12,23012,32.21592712,
13,23013,34.51137161,
14,23014,35.77013397,
15,23015,37.61584473,
16,23016,39.89543915,
17,23017,40.41272736,
18,23018,38.70446396,
19,23019,35.12397003,
20,23020,29.21947289,
21,23021,21.82355118,
22,23022,15.10112476,
23,23023,10.59279442,
24,23024,8.933444977,
25,23025,10.06955719,
26,23026,13.65435791,
27,23027,19.57896614,
28,23028,27.2534771,
29,23029,34.71866989,
30,23030,40.59013748,
31,23031,45.92923737,
32,23032,52.06924057,
33,23033,58.72101212,
34,23034,63.80765915,
35,23035,65.49404907,
36,23036,65.45422363,
37,23037,65.27929688,
38,23038,64.41477966,
39,23039,68.08325958,
40,23040,87.2773819,
41,23041,124.004364,
42,23042,167.353302,
43,23043,211.8294373,
44,23044,258.58255,
45,23045,288.2966919,
46,23046,272.8535461,
47,23047,217.8460693,
48,23048,153.882019,
49,23049,104.3417282,
50,23050,81.92094421,
51,23051,90.19971466,
52,23052,116.5413971,
53,23053,138.901001,
54,23054,147.0211792,
55,23055,143.6928101,
56,23056,134.0604401,
57,23057,123.4966736,
58,23058,113.648819,
59,23059,104.8057327,
60,23060,102.2389145,
61,23061,110.2515717,
62,23062,121.863945,
63,23063,126.3981705,
64,23064,128.8851166,
65,23065,144.3585358,
66,23066,172.4612427,
67,23067,191.0211334,
68,23068,182.3704224,
69,23069,155.9039459,
70,23070,129.4705505,
71,23071,109.9806747,
72,23072,97.79782867,
73,23073,87.6696701,
74,23074,75.00557709,
75,23075,66.48415375,
76,23076,70.43144226,
77,23077,83.04510498,
78,23078,94.39803314,
79,23079,99.0344162,
80,23080,95.53888702,
81,23081,87.57589722,
82,23082,84.00510406,
83,23083,88.20038605,
84,23084,95.41194153,
85,23085,103.6700821,
86,23086,115.3419189,
87,23087,129.2146606,
88,23088,139.4879303,
89,23089,140.1301117,
90,23090,130.468399,
91,23091,116.5357513,
92,23092,105.723732,
93,23093,103.2421188,
94,23094,108.5929337,
95,23095,114.5084915,
96,23096,116.7914124,
97,23097,118.7449265,
98,23098,121.8902435,
99,23099,124.9313049,
100,23100,127.8598938,
101,23101,127.9772263,
102,23102,124.1548462,
103,23103,122.5443802,
104,23104,126.0465546,
105,23105,128.1516266,
106,23106,124.7590332,
107,23107,120.1621094,
108,23108,117.2770844,
109,23109,115.4051132,
110,23110,116.9977646,
111,23111,126.0973587,
112,23112,140.7847443,
113,23113,153.8602448,
114,23114,163.7345276,
115,23115,173.7718811,
116,23116,180.7160187,
117,23117,177.717865,
118,23118,163.1321564,
119,23119,142.0869141,
120,23120,126.1470795,
121,23121,124.9711609,
122,23122,138.9661407,
123,23123,166.9600677,
124,23124,209.3680573,
125,23125,255.8336792,
126,23126,288.0143433,
127,23127,305.0108337,
128,23128,320.7613831,
129,23129,336.4940186,
130,23130,344.2820129,
131,23131,338.1795349,
132,23132,318.8383179,
133,23133,299.8336487,
134,23134,282.2191467,
135,23135,255.1105042,
136,23136,231.3604126,
137,23137,227.7085114,
138,23138,234.2165527,
139,23139,234.532547,
140,23140,227.7201385,
141,23141,217.00737,
142,23142,201.5094604,
143,23143,186.835022,
144,23144,177.3343048,
145,23145,167.2245178,
146,23146,154.6195526,
147,23147,143.2485962,
148,23148,134.3417358,
149,23149,128.6717224,
150,23150,124.8510437,
151,23151,117.9581528,
152,23152,107.8024063,
153,23153,101.6920319,
154,23154,106.4433365,
155,23155,120.6697083,
156,23156,139.0856628,
157,23157,163.6781311,
158,23158,197.2736816,
159,23159,223.5539703,
160,23160,220.0562134,
161,23161,195.0323639,
162,23162,176.0147095,
163,23163,173.7602997,
164,23164,186.3787079,
165,23165,212.6282349,
166,23166,248.2775116,
167,23167,287.6495361,
168,23168,326.4136963,
169,23169,361.3968201,
170,23170,391.8853149,
171,23171,413.2478027,
172,23172,416.8594055,
173,23173,402.1456299,
174,23174,384.1106567,
175,23175,383.5439758,
176,23176,391.4570618,
177,23177,368.4776306,
178,23178,306.8515625,
179,23179,242.9667664,
180,23180,202.23909,
181,23181,181.2917786,
182,23182,172.739624,
183,23183,173.5238495,
184,23184,176.0827942,
185,23185,172.4394226,
186,23186,163.7731628,
187,23187,157.636795,
188,23188,160.5468903,
189,23189,174.9667664,
190,23190,197.2807617,
191,23191,217.0787506,
192,23192,224.9591064,
193,23193,218.4658203,
194,23194,201.5729523,
195,23195,182.2959595,
196,23196,166.2009125,
197,23197,154.5771179,
198,23198,148.9738617,
199,23199,158.2910919,
200,23200,200.1483307,
201,23201,279.4198608,
202,23202,367.5178833,
203,23203,435.1380005,
204,23204,494.3048096,
205,23205,560.779541,
206,23206,605.5079346,
207,23207,596.5859375,
208,23208,553.5778809,
209,23209,516.2329102,
210,23210,488.3497314,
211,23211,442.7286377,
212,23212,368.3339233,
213,23213,290.799469,
214,23214,242.664444,
215,23215,232.0499115,
216,23216,247.5514221,
217,23217,271.6822205,
218,23218,283.1715393,
219,23219,269.1549988,
220,23220,237.2205811,
221,23221,206.0066528,
222,23222,191.6187592,
223,23223,196.171463,
224,23224,202.7448425,
225,23225,196.6028137,
226,23226,183.0720367,
227,23227,168.6449738,
228,23228,151.2197571,
229,23229,138.2649384,
230,23230,144.2797699,
